Сутки;Плотность суспензии;Оптическая плотность;Кол-во клеток, ед/мл суспензии.;Отношение мертвых к живым;Содержание хлорофилла-а, мкг/л;Сухая масса, г;Отношение биомассы к объему, г/л;;;
0;0,327;0,223;3,02;5;4,15;0,001;0,074074074;;;
0;0,331;0,213;3,02;5;4,15;0,001;0,074074074;;;
0;0,329;0,219;3,02;5;4,15;0,001;0,074074074;;;
1;0,369;0,227;4,14;3;3,72;0,0012;0,088888888;;;
1;0,384;0,219;4,14;3;3,72;0,0012;0,088888888;;;
1;0,365;0,231;4,14;3;3,72;0,0012;0,088888888;;;
2;0,517;0,304;6,09;4;4,28;0,0016;0,1186;;;
2;0,539;0,333;6,09;4;4,28;0,0016;0,1186;;;
2;0,539;0,327;6,09;4;4,28;0,0016;0,1186;;;
3;0,551;0,351;7,54;2;4,02;0,0015;0,1112;;;
3;0,494;0,311;7,54;2;4,02;0,0015;0,1112;;;
3;0,516;0,341;7,54;2;4,02;0,0015;0,1112;;;
4;0,587;0,389;6,75;2;3,15;0,0019;0,1408;;;
4;0,520;0,412;6,75;2;3,15;0,0019;0,1408;;;
4;0,556;0,406;6,75;2;3,15;0,0019;0,1408;;;
5;0,659;0,415;6;5;3,62;0,0024;0,1846;;;
5;0,616;0,423;6,00;5;3,62;0,0024;0,1846;;;
5;0,618;0,425;6;5;3,62;0,0024;0,1846;;;
6;0,595;0,408;6,15;10;3,28;0,0033;0,2538;;;
6;0,593;0,385;6,15;10;3,28;0,0033;0,2538;;;
6;0,607;0,372;6,15;10;3,28;0,0033;0,2538;;;
7;0,564;0,418;5,75;6;4,12;0,0039;0,3000;;;
7;0,567;0,395;5,75;6;4,12;0,0039;0,3000;;;
7;0,583;0,412;5,75;6;4,12;0,0039;0,3000;;;
8;0,533;0,323;6,14;5;4,00;0,0048;0,3692;;;
8;0,586;0,411;6,14;5;4,00;0,0048;0,3692;;;
8;0,566;0,336;6,14;5;4,00;0,0048;0,3692;;;
9;0,585;0,327;6;5;3,86;0,0048;0,3429;;;
9;0,510;0,400;6;5;3,86;0,0048;0,3429;;;
9;0,523;0,365;6;5;3,86;0,0048;0,3429;;;
10;0,528;0,320;5,34;8;1,72;0,0032;0,2462;;;
10;0,543;0,265;5,34;8;1,72;0,0032;0,2462;;;
10;0,527;0,321;5,34;8;1,72;0,0032;0,2462;;;
11;0,471;0,204;3,44;15;1,09;0,0028;0,2074074;;;
11;0,316;0,211;3,44;15;1,09;0,0028;0,2074074;;;
11;0,356;0,232;3,44;15;1,09;0,0028;0,2074074;;;
