Сутки;Плотность суспензии;Оптическая плотность;Кол-во клеток, ед*10^5/мл;Кол-во нежизнеспособных клеток, %;Содержание хлорофилла-а, мг/л;Сухая масса, г;Отношение биомассы к объему, г/л;Штамм;Среда;Фаза;;;;
0;0,117;0,131;1,422;2,3;1,17;0,0006;0,0462;0;2;1;;;;
0;0,113;0,144;2,173;5;1,17;0,0006;0,0462;0;2;1;;;;
0;0,115;0,135;1,412;1,3;1,17;0,0006;0,0462;0;2;1;;;;
1;0,382;0,367;7,328;8;2,29;0,0016;0,1231;0;2;1;;;;
1;0,493;0,316;6,833;14;2,29;0,0016;0,0593;0;2;1;;;;
1;0,291;0,466;4,44;2,4;2,29;0,0016;0,1231;0;2;1;;;;
2;0,714;0,750;9,247;5;2,34;0,0069;0,5750;0;2;1;;;;
2;0,751;0,756;8,892;3,2;2,34;0,0069;0,5750;0;2;1;;;;
2;0,615;0,747;9,012;1,7;2,34;0,0069;0,5750;0;2;1;;;;
3;0,901;0,943;15,6;2,6;5,34;0,0065;0,5909;0;2;1;;;;
3;0,737;0,840;14,11;1,6;5,34;0,0065;0,5909;0;2;1;;;;
3;0,764;0,823;12,2;1,1;5,34;0,0065;0,5909;0;2;1;;;;
4;0,825;0,920;11,07;5;2,05;0,0067;0,6091;0;2;2;;;;
4;0,789;0,819;12,72;5;2,05;0,0067;0,6091;0;2;2;;;;
4;0,869;0,880;12,04;1,7;2,05;0,0067;0,6091;0;2;2;;;;
5;0,830;0,936;11,57;6;4,17;0,0060;0,6000;0;2;2;;;;
5;0,853;0,933;14,89;8,8;4,17;0,0060;0,6000;0;2;2;;;;
5;0,790;0,867;12,95;7,8;4,17;0,0060;0,6000;0;2;2;;;;
6;0,623;0,888;11,79;6,1;2,90;0,0054;0,4909;0;2;2;;;;
6;0,774;0,913;12,89;3;2,90;0,0054;0,4909;0;2;2;;;;
6;0,790;0,786;14,15;5;2,90;0,0054;0,4909;0;2;2;;;;
7;0,810;0,902;11,69;9,3;3,39;0,0052;0,5778;0;2;2;;;;
7;0,650;0,886;14,28;8;3,39;0,0052;0,5778;0;2;2;;;;
7;0,829;0,786;9,56;8,2;3,39;0,0052;0,5778;0;2;2;;;;
8;0,731;0,842;12,74;10;3,21;0,0051;1,4571;0;2;2;;;;
8;0,731;0,871;11,78;23,7;3,21;0,0051;1,4571;0;2;2;;;;
8;0,869;0,954;10,84;8;3,21;0,0051;1,4571;0;2;2;;;;
9;0,745;0,870;20,78;9,7;1,47;0,0047;1,1750;0;2;2;;;;
9;0,679;0,806;11,15;8,3;1,47;0,0047;1,1750;0;2;2;;;;
9;0,768;0,852;9,72;9;1,47;0,0047;1,1750;0;2;2;;;;
10;0,598;0,706;5,26;32,7;1,05;0,0021;0,5250;0;2;3;;;;
10;0,602;0,700;5,29;27,60;1,05;0,0021;0,5250;0;2;3;;;;
10;0,590;0,711;5,28;29,80;1,05;0,0021;0,5250;0;2;3;;;;
