Эксперимент,Сутки,Плотность суспензии,Оптическая плотность,"Кол-во клеток, ед/мл суспензии.",Отношение мертвых к живым,"Содержание хлорофилла-а, мкг/л","Сухая масса, г","Отношение биомассы к объему, г/л"
1,0,"0,304","0,198","1,56",24,"18,533","0,0015","0,055556"
1,0,"0,29","0,19","1,44",24,"18,533","0,0015","0,055556"
1,0,"0,294","0,195","1,36",24,"18,53","0,0015","0,055556"
1,1,"0,401","0,221","6,33",12,"21,56","0,007","0,2593"
1,1,"0,411","0,227","6,02",12,"21,56","0,0068","0,2519"
1,1,"0,406","0,235","6,18",12,"21,56","0,0069","0,2556"
1,2,"0,47","0,498","13,22",8,"23,19","0,0075","0,2885"
1,2,"0,498","0,47",13,8,"23,19","0,0075","0,2885"
1,2,"0,482","0,482","13,55",8,"23,19","0,0075","0,2885"
1,3,"0,565","0,573","26,6",12,"23,32","0,0068","0,34"
1,3,"0,573","0,56",26,12,"23,32","0,007","0,34"
1,3,"0,56","0,565",27,12,"23,32","0,0069","0,34"
1,4,"0,607","0,34","30,7",22,"4,47","0,0093","0,3577"
1,4,"0,567","0,338",32,17,"4,47","0,0093","0,3577"
1,4,"0,592","0,352","31,4",22,"4,47","0,0093","0,3577"
1,5,"0,615","0,408","37,4","94,4",18,"0,0172","0,688"
1,5,"0,65","0,386","38,1","90,4",18,"0,0172","0,688"
1,5,"0,632","0,402","37,6",92,18,"0,0172","0,688"
1,6,"0,631","0,366",40,"93,2","16,54","0,0267","1,068"
1,6,"0,652","0,34","44,2","95,3","16,54","0,0267","1,068"
1,6,"0,692","0,356","41,1",97,"16,54","0,0267","1,068"
1,7,"0,764","0,458",34,93,"20,09","0,0226","0,904"
1,7,"0,809","0,506","30,8",92,"20,09","0,0226","0,904"
1,7,"0,796","0,4","32,7","95,7","20,09","0,0226","0,904"
1,8,"0,782","0,407","29,8",96,"18,56","0,0239","0,956"
1,8,"0,744","0,425","29,6","91,9","18,56","0,0239","0,956"
1,8,"0,764","0,412",32,"90,2","18,56","0,0239","0,956"
1,9,"0,61","0,347","35,6","90,1","16,32","0,0254","1,016"
1,9,"0,795","0,402","34,8",93,"16,32","0,0254","1,016"
1,9,"0,632","0,362","32,2","96,3","16,32","0,0254","1,016"
1,10,"0,77","0,392",24,"67,1","20,96","0,0055","0,5"
1,10,"0,73","0,35","22,6","60,3","20,96","0,0055","0,5"
1,10,"0,745","0,308","23,1","65,2","20,96","0,0055","0,5"
2,0,"0,047","0,115","2,88",0,"3,12","0,0008","0,0615"
2,0,"0,072","0,118","2,88",0,"3,12","0,0008","0,0615"
2,0,"0,085","0,121","2,88",0,"3,12","0,0008","0,0615"
2,1,"0,506","0,552","2,11",2,"4,01","0,0016","0,1231"
2,1,"0,351","0,425","2,11",2,"4,01","0,0016","0,1231"
2,1,"0,566","0,623","2,11",2,"4,01","0,0016","0,1231"
2,2,"0,795","0,895","6,89",3,"3,21","0,0031","0,2385"
2,2,"0,763","0,888","6,89",3,"3,21","0,0031","0,2385"
2,2,"0,748","0,841","6,89",3,"3,21","0,0031","0,2385"
2,3,"0,958","1,168","7,32",5,"1,47","0,0064","0,4923"
2,3,"0,942","1,053","7,32",5,"1,47","0,0064","0,4923"
2,3,"0,977","1,117","7,32",5,"1,47","0,0064","0,4923"
2,4,"0,976","1,266","8,15",5,"2,89","0,0091","0,7"
2,4,"1,049","1,25","8,15",5,"2,89","0,0091","0,7"
2,4,"1,017","1,278","8,15",5,"2,89","0,0091","0,7"
2,5,"1,022","1,141","9,02",7,"3,27","0,0095","0,7308"
2,5,"1,031","1,287","9,02",7,"3,27","0,0095","0,7308"
2,5,"1,012","1,269","9,02",7,"3,27","0,0095","0,7308"
2,6,"1,117","1,132","9,32",10,"3,62","0,0096","0,7385"
2,6,"1,016","1,254","9,32",10,"3,62","0,0096","0,7385"
2,6,"1,096","1,186","9,32",10,"3,62","0,0096","0,7385"
2,7,"1,086","1,182","9,89",10,"2,7","0,0101","0,7769"
2,7,"0,967","1,224","9,89",10,"2,7","0,0101","0,7769"
2,7,"1,022","1,237","9,89",10,"2,7","0,0101","0,7769"
2,8,"0,992","1,17","8,33",15,"3,02","0,0101","0,7769"
2,8,"1,033","1,106","8,33",15,"3,02","0,0101","0,7769"
2,8,"1,087","1,133","8,33",15,"3,02","0,0101","0,7769"
2,9,"1,059","1,242","6,32",15,"3,15","0,0074","0,592"
2,9,"1,095","1,254","6,32",15,"3,15","0,0074","0,592"
2,9,"1,111","1,152","6,32",15,"3,15","0,0074","0,592"
2,10,"1,077","1,017","2,44",12,"1,15","0,0062","0,496"
2,10,"1,037","1,068","2,44",12,"1,15","0,0062","0,496"
2,10,"0,971","0,968","2,44",12,"1,15","0,0062","0,496"
2,11,"0,932","0,848","2,33",17,"1,07","0,0055","0,423"
2,11,"0,896","0,862","2,33",17,"1,07","0,0055","0,423"
2,11,"0,905","0,839","2,33",17,"1,07","0,0055","0,423"
3,0,"0,327","0,223","3,02",5,"4,15","0,001","0,074074"
3,0,"0,331","0,213","3,02",5,"4,15","0,001","0,074074"
3,0,"0,329","0,219","3,02",5,"4,15","0,001","0,074074"
3,1,"0,369","0,227","4,14",3,"3,72","0,0012","0,088889"
3,1,"0,384","0,219","4,14",3,"3,72","0,0012","0,088889"
3,1,"0,365","0,231","4,14",3,"3,72","0,0012","0,088889"
3,2,"0,517","0,304","6,09",4,"4,28","0,0016","0,1186"
3,2,"0,539","0,333","6,09",4,"4,28","0,0016","0,1186"
3,2,"0,539","0,327","6,09",4,"4,28","0,0016","0,1186"
3,3,"0,551","0,351","7,54",2,"4,02","0,0015","0,1112"
3,3,"0,494","0,311","7,54",2,"4,02","0,0015","0,1112"
3,3,"0,516","0,341","7,54",2,"4,02","0,0015","0,1112"
3,4,"0,587","0,389","6,75",2,"3,15","0,0019","0,1408"
3,4,"0,52","0,412","6,75",2,"3,15","0,0019","0,1408"
3,4,"0,556","0,406","6,75",2,"3,15","0,0019","0,1408"
3,5,"0,659","0,415",6,5,"3,62","0,0024","0,1846"
3,5,"0,616","0,423",6,5,"3,62","0,0024","0,1846"
3,5,"0,618","0,425",6,5,"3,62","0,0024","0,1846"
3,6,"0,595","0,408","6,15",10,"3,28","0,0033","0,2538"
3,6,"0,593","0,385","6,15",10,"3,28","0,0033","0,2538"
3,6,"0,607","0,372","6,15",10,"3,28","0,0033","0,2538"
