Сутки;Плотность суспензии;Оптическая плотность;Кол-во клеток, ед/мл суспензии.;Отношение мертвых к живым;Содержание хлорофилла-а, мкг/л;Сухая масса, г;Отношение биомассы к объему, г/л;;;
0;0,304;0,198;1,56;24;18,533;0,0015;0,055555556;;;
;0,29;0,19;1,44;24;18,533;0,0015;0,055555556;;;
;0,294;0,195;1,36;24;18,53;0,0015;0,055555556;;;
1;0,401;0,221;6,33;12;21,56;0,0070;0,2593;;;
;0,411;0,227;6,02;12;21,56;0,0068;0,2519;;;
;0,406;0,235;6,18;12;21,56;0,0069;0,2556;;;
2;0,470;0,498;13,22;8;23,19;0,0075;0,2885;;;
;0,498;0,470;13;8;23,19;0,0075;0,2885;;;
;0,482;0,482;13,55;8;23,19;0,0075;0,2885;;;
3;0,565;0,573;26,6;12;23,32;0,0068;0,3400;;;
;0,573;0,560;26;12;23,32;0,0070;0,3400;;;
;0,560;0,565;27;12;23,32;0,0069;0,3400;;;
4;0,607;0,340;30,7;22;4,47;0,0093;0,3577;;;
;0,567;0,338;32;17;4,47;0,0093;0,3577;;;
;0,592;0,352;31,4;22;4,47;0,0093;0,3577;;;
5;0,615;0,408;37,4;94,4;18,00;0,0172;0,6880;;;
;0,650;0,386;38,1;90,4;18,00;0,0172;0,6880;;;
;0,632;0,402;37,6;92;18,00;0,0172;0,6880;;;
6;0,631;0,366;40;93,2;16,54;0,0267;1,0680;;;
;0,652;0,340;44,2;95,3;16,54;0,0267;1,0680;;;
;0,692;0,356;41,1;97;16,54;0,0267;1,0680;;;
7;0,764;0,458;34;93;20,09;0,0226;0,9040;;;
;0,809;0,506;30,8;92;20,09;0,0226;0,9040;;;
;0,796;0,400;32,7;95,7;20,09;0,0226;0,9040;;;
8;0,782;0,407;29,8;96;18,56;0,0239;0,9560;;;
;0,744;0,425;29,6;91,9;18,56;0,0239;0,9560;;;
;0,764;0,412;32;90,2;18,56;0,0239;0,9560;;;
9;0,610;0,347;35,6;90,1;16,32;0,0254;1,0160;;;
;0,795;0,402;34,8;93;16,32;0,0254;1,0160;;;
;0,632;0,362;32,2;96,3;16,32;0,0254;1,0160;;;
10;0,770;0,392;24;67,1;20,96;0,0055;0,5000;;;
;0,730;0,350;22,6;60,3;20,96;0,0055;0,5000;;;
;0,745;0,308;23,1;65,2;20,96;0,0055;0,5000;;;
;;;;;;;;;;
