Сутки;Плотность суспензии;Оптическая плотность;Кол-во клеток, ед/мл суспензии.;Отношение мертвых к живым;Содержание хлорофилла-а, мкг/л;Сухая масса, г;Отношение биомассы к объему, г/л;;;
0;0,047;0,115;2,88;0;3,12;0,0008;0,0615;;;
0;0,072;0,118;2,88;0;3,12;0,0008;0,0615;;;
0;0,085;0,121;2,88;0;3,12;0,0008;0,0615;;;
1;0,506;0,552;2,11;2;4,01;0,0016;0,1231;;;
1;0,351;0,425;2,11;2;4,01;0,0016;0,1231;;;
1;0,566;0,623;2,11;2;4,01;0,0016;0,1231;;;
2;0,795;0,895;6,89;3;3,21;0,0031;0,2385;;;
2;0,763;0,888;6,89;3;3,21;0,0031;0,2385;;;
2;0,748;0,841;6,89;3;3,21;0,0031;0,2385;;;
3;0,958;1,168;7,32;5;1,47;0,0064;0,4923;;;
3;0,942;1,053;7,32;5;1,47;0,0064;0,4923;;;
3;0,977;1,117;7,32;5;1,47;0,0064;0,4923;;;
4;0,976;1,266;8,15;5;2,89;0,0091;0,7000;;;
4;1,049;1,250;8,15;5;2,89;0,0091;0,7000;;;
4;1,017;1,278;8,15;5;2,89;0,0091;0,7000;;;
5;1,022;1,141;9,02;7;3,27;0,0095;0,7308;;;
5;1,031;1,287;9,02;7;3,27;0,0095;0,7308;;;
5;1,012;1,269;9,02;7;3,27;0,0095;0,7308;;;
6;1,117;1,132;9,32;10;3,62;0,0096;0,7385;;;
6;1,016;1,254;9,32;10;3,62;0,0096;0,7385;;;
6;1,096;1,186;9,32;10;3,62;0,0096;0,7385;;;
7;1,086;1,182;9,89;10;2,70;0,0101;0,7769;;;
7;0,967;1,224;9,89;10;2,70;0,0101;0,7769;;;
7;1,022;1,237;9,89;10;2,70;0,0101;0,7769;;;
8;0,992;1,170;8,33;15;3,02;0,0101;0,7769;;;
8;1,033;1,106;8,33;15;3,02;0,0101;0,7769;;;
8;1,087;1,133;8,33;15;3,02;0,0101;0,7769;;;
9;1,059;1,242;6,32;15;3,15;0,0074;0,5920;;;
9;1,095;1,254;6,32;15;3,15;0,0074;0,5920;;;
9;1,111;1,152;6,32;15;3,15;0,0074;0,5920;;;
10;1,077;1,017;2,44;12;1,15;0,0062;0,4960;;;
10;1,037;1,068;2,44;12;1,15;0,0062;0,4960;;;
10;0,971;0,968;2,44;12;1,15;0,0062;0,4960;;;
11;0,932;0,848;2,33;17;1,07;0,0055;0,423;;;
11;0,896;0,862;2,33;17;1,07;0,0055;0,4230;;;
11;0,905;0,839;2,33;17;1,07;0,0055;0,4230;;;
